"pantalla","resolución","tipo","etiqueta accesible","texto visible","placeholder","deshabilitado","origen del texto","captura"
"tarjeta-ARZUA PRO-rellena","1280×720","button","Añadir trabajo de telaCambio, cortina, enrollable, bamba o Antica","Añadir trabajo de telaCambio, cortina, enrollable, bamba o Antica","","no","src/client/App.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
"tarjeta-ARZUA PRO-rellena","1280×720","button","Modificar reglas del modelo","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
"tarjeta-ARZUA PRO-rellena","1280×720","button","Duplicar","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
"tarjeta-ARZUA PRO-rellena","1280×720","button","Eliminar","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
"tarjeta-ARZUA PRO-rellena","1280×720","input","OF","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
"tarjeta-ARZUA PRO-rellena","1280×720","input","Frente","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
"tarjeta-ARZUA PRO-rellena","1280×720","combobox","Salida","150","","no","src/client/components/AwningColumn.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
"tarjeta-ARZUA PRO-rellena","1280×720","input","Bamba (cm)","","","no","src/client/components/AwningColumn.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
"tarjeta-ARZUA PRO-rellena","1280×720","combobox","Dibujo de confección","Automático","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
"tarjeta-ARZUA PRO-rellena","1280×720","button","Normales","Normales","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
"tarjeta-ARZUA PRO-rellena","1280×720","button","Cruzados","Cruzados","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
"tarjeta-ARZUA PRO-rellena","1280×720","button","2","2","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
"tarjeta-ARZUA PRO-rellena","1280×720","button","3","3","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
"tarjeta-ARZUA PRO-rellena","1280×720","button","Evo 80","Evo 80","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
